quotes_max;142;;;;;;;;;;;;;x
loading_quote_1;Забудь своих врагов, но никогда не забывай их имена.\n-John F. Kennedy ;;;;;;;;;;;Забудь своих врагов, но никогда не забывай их имена.\n-John F. Kennedy ;;x
loading_quote_12;Поддержка США правителей, скорее, в характере поддержки, что веревка дает повешенного.\n-Nikita Khrushchev ;;;;;;;;;;;Поддержка США правителей, скорее, в характере поддержки, что веревка дает повешенного.\n-Nikita Khrushchev ;;x
loading_quote_13;Если вы начнете бросать ежей под меня, я буду бросить пару дикобразов под вами.\n-Nikita Khrushchev ;;;;;;;;;;;Если вы начнете бросать ежей под меня, я буду бросить пару дикобразов под вами.\n-Nikita Khrushchev ;;x
loading_quote_14;Если вы не можете поймать райскую птицу, лучше взять мокрую курицу.\n-Nikita Khrushchev ;;;;;;;;;;;Если вы не можете поймать райскую птицу, лучше взять мокрую курицу.\n-Nikita Khrushchev ;;x
loading_quote_15;Экономика является предметом, который не очень уважаю свои желания.\n-Nikita Khrushchev ;;;;;;;;;;;Экономика является предметом, который не очень уважаю свои желания.\n-Nikita Khrushchev ;;x
loading_quote_16;Называйте это как хотите, стимулы, что заставить людей работать.\n-Nikita Khrushchev ;;;;;;;;;;;Называйте это как хотите, стимулы, что заставить людей работать.\n-Nikita Khrushchev ;;x
loading_quote_17;Изменения закон жизни. А те, кто смотрит только в прошлое или настоящее уверены пропустить будущее.\n-John F. Kennedy ;;;;;;;;;;;Изменения закон жизни. А те, кто смотрит только в прошлое или настоящее уверены пропустить будущее.\n-John F. Kennedy ;;x
loading_quote_18;Давайте не будем стремиться Республиканскую ответ или Демократическую ответ, но правильный ответ. Давайте не будем стремиться исправить вину за прошлое. Примем нашу собственную ответственность за будущее.\n-John F. Kennedy ;;;;;;;;;;;Давайте не будем стремиться Республиканскую ответ или Демократическую ответ, но правильный ответ. Давайте не будем стремиться исправить вину за прошлое. Примем нашу собственную ответственность за будущее.\n-John F. Kennedy ;;x
loading_quote_19;Я не знаю, почему вы используете фантазии французское слово как разрядки, когда есть хороший английский разговорник для него -. Холодная война.\n-Golda Meir;;;;;;;;;;;Я не знаю, почему вы используете фантазии французское слово как разрядки, когда есть хороший английский разговорник для него -. Холодная война.\n-Golda Meir;;x
loading_quote_20;Те, кто делают невозможным мирная революция сделает насильственную революцию неизбежной.\n-John F. Kennedy ;;;;;;;;;;;Те, кто делают невозможным мирная революция сделает насильственную революцию неизбежной.\n-John F. Kennedy ;;x
loading_quote_21;Пусть каждый народ, желает ли она нам добра или зла, что мы заплатим любую цену, вынесем любое бремя, выстоим перед любой трудностью, поддержим любого друга, выступают против любого противника, чтобы заверить выживание и успех свободы.\n-John F. Kennedy ;;;;;;;;;;;Пусть каждый народ, желает ли она нам добра или зла, что мы заплатим любую цену, вынесем любое бремя, выстоим перед любой трудностью, поддержим любого друга, выступают против любого противника, чтобы заверить выживание и успех свободы.\n-John F. Kennedy ;;x
loading_quote_22;Лучший путь к прогрессу является дорога свободы.\n-John F. Kennedy ;;;;;;;;;;;Лучший путь к прогрессу является дорога свободы.\n-John F. Kennedy ;;x
loading_quote_23;Если свободное общество не может помочь многим, кто беден, он не может спасти и тех немногих, кто богат.\n-John F. Kennedy;;;;;;;;;;;Если свободное общество не может помочь многим, кто беден, он не может спасти и тех немногих, кто богат.\n-John F. Kennedy;;x
loading_quote_24;Когда написан на китайском языке, слово «кризис» состоит из двух иероглифов. Один представляет опасность, а другой представляет возможность.\n-John F. Kennedy ;;;;;;;;;;;Когда написан на китайском языке, слово «кризис» состоит из двух иероглифов. Один представляет опасность, а другой представляет возможность.\n-John F. Kennedy ;;x
loading_quote_25;Человечество должно положить конец войне до войны кладет конец человечества.\n-John F. Kennedy ;;;;;;;;;;;Человечество должно положить конец войне до войны кладет конец человечества.\n-John F. Kennedy ;;x
loading_quote_26;Мир это ежедневный, еженедельный, ежемесячный процесс, постепенно меняется мнения, медленно разрушая старые барьеры, спокойно строить новые структуры.\n-John F. Kennedy ;;;;;;;;;;;Мир это ежедневный, еженедельный, ежемесячный процесс, постепенно меняется мнения, медленно разрушая старые барьеры, спокойно строить новые структуры.\n-John F. Kennedy ;;x
loading_quote_27;Давайте никогда не договориться из страха. Но давайте не будем бояться вести переговоры.\n-John F. Kennedy ;;;;;;;;;;;Давайте никогда не договориться из страха. Но давайте не будем бояться вести переговоры.\n-John F. Kennedy ;;x
loading_quote_28;Коммунизм это не любовь. Коммунизм молоток, который мы используем, чтобы сокрушить врага.\n-Mao Zedong ;;;;;;;;;;;Коммунизм это не любовь. Коммунизм молоток, который мы используем, чтобы сокрушить врага.\n-Mao Zedong ;;x
loading_quote_29;Война может быть отменен только через войны, и для того, чтобы избавиться от пистолета необходимо взять на себя пистолет.\n-Mao Zedong ;;;;;;;;;;;Война может быть отменен только через войны, и для того, чтобы избавиться от пистолета необходимо взять на себя пистолет.\n-Mao Zedong ;;x
loading_quote_30;Во время трудности, мы не должны упускать из виду наших достижений.\n-Mao Zedong ;;;;;;;;;;;Во время трудности, мы не должны упускать из виду наших достижений.\n-Mao Zedong ;;x
loading_quote_31;Партизанская должны двигаться среди людей как рыба плавает в море.\n-Mao Zedong ;;;;;;;;;;;Партизанская должны двигаться среди людей как рыба плавает в море.\n-Mao Zedong ;;x
loading_quote_32;Политическая работа является источником жизненной силы всей экономической работы.\n-Mao Zedong ;;;;;;;;;;;Политическая работа является источником жизненной силы всей экономической работы.\n-Mao Zedong ;;x
loading_quote_33;Я всегда был и будет врагом коммунизма, но я люблю всех людей.\n-Lech Walesa ;;;;;;;;;;;Я всегда был и будет врагом коммунизма, но я люблю всех людей.\n-Lech Walesa ;;x
loading_quote_34;Мы твердо убеждены, что мы живем в правое дело и что мы должны найти мирный путь для достижения наших целей дал нам силы и осознание пределов, за которыми мы не должны пойти.\n-Lech Walesa ;;;;;;;;;;;Мы твердо убеждены, что мы живем в правое дело и что мы должны найти мирный путь для достижения наших целей дал нам силы и осознание пределов, за которыми мы не должны пойти.\n-Lech Walesa ;;x
loading_quote_35;Свобода должна быть получена шаг за шагом, медленно. Свобода есть пища, которая должна быть тщательно вводить, когда люди слишком голоден для него.\n-Lech Walesa ;;;;;;;;;;;Свобода должна быть получена шаг за шагом, медленно. Свобода есть пища, которая должна быть тщательно вводить, когда люди слишком голоден для него.\n-Lech Walesa ;;x
loading_quote_36;"Люди всегда спрашивают меня, ""Лех, ты не боишься быть убитым? И в качестве ответа я пожимаю плечами.\n-Lech Walesa ";;;;;;;;;;;"Люди всегда спрашивают меня, ""Лех, ты не боишься быть убитым? И в качестве ответа я пожимаю плечами.\n-Lech Walesa ";;x
loading_quote_37;Я начал революцию с 82 мужчинами. Если бы мне пришлось сделать это снова, я делаю это с 10 или 15 и абсолютной веры. Это не имеет значения, как маленький Вы, если у вас есть вера и план действий.\n-Fidel Castro ;;;;;;;;;;;Я начал революцию с 82 мужчинами. Если бы мне пришлось сделать это снова, я делаю это с 10 или 15 и абсолютной веры. Это не имеет значения, как маленький Вы, если у вас есть вера и план действий.\n-Fidel Castro ;;x
loading_quote_38;Я считаю капитализм противен. Это грязно, это полная, это отчуждение ... потому что он вызывает войну, лицемерие и конкуренции.\n-Fidel Castro ;;;;;;;;;;;Я считаю капитализм противен. Это грязно, это полная, это отчуждение ... потому что он вызывает войну, лицемерие и конкуренции.\n-Fidel Castro ;;x
loading_quote_39;Они говорят о провале социализма, а где это успех капитализма в Африке, Азии и Латинской Америки?\n-Fidel Castro ;;;;;;;;;;;Они говорят о провале социализма, а где это успех капитализма в Африке, Азии и Латинской Америки?\n-Fidel Castro ;;x
loading_quote_40;Революция идет борьба на смерть между будущим и прошлым.\n-Fidel Castro ;;;;;;;;;;;Революция идет борьба на смерть между будущим и прошлым.\n-Fidel Castro ;;x
loading_quote_41;The revolution is a dictatorship of the exploited against the exploiters.\n-Fidel Castro ;;;;;;;;;;;;;x
loading_quote_42;There is not Communism or Marxism, but representative democracy and social justice in a well-planned economy.\n-Fidel Castro ;;;;;;;;;;;;;x
loading_quote_43;Peace is a journey of a thousand miles and it must be taken one step at a time.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_44;The guns and the bombs, the rockets and the warships, are all symbols of human failure.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_45;There are no problems we cannot solve together, and very few that we can solve by ourselves.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_46;You do not examine legislation in the light of the benefits it will convey if properly administered, but in the light of the wrongs it would do and the harms it would cause if improperly administered.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_47;We are not about to send American boys 9 or 10 thousand miles away from home to do what Asian boys ought to be doing for themselves.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_48;While you're saving your face, you're losing your ass.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_49;Doing what's right isn't the problem. It is knowing what's right.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_50;Until justice is blind to color, until education is unaware of race, until opportunity is unconcerned with the color of men's skins, emancipation will be a proclamation but not a fact.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_51;A man without a vote is man without protection.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_52;There are no favorites in my office. I treat them all with the same general inconsideration.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_53;I once told Nixon that the Presidency is like being a jackass caught in a hail storm. You've got to just stand there and take it.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_54;We have talked long enough in this country about equal rights. It is time now to write the next chapter - and to write it in the books of law.\n-Lyndon B. Johnson ;;;;;;;;;;;;;x
loading_quote_55;One sits the whole day at the desk and appetite is standing next to me. 'Away with you,' I say. But Comrade Appetite does not budge from the spot.\n-Leonid I. Brezhnev ;;;;;;;;;;;;;x
loading_quote_56;We should not pour muck on ourselves.\n-Leonid I. Brezhnev ;;;;;;;;;;;;;x
loading_quote_57;Whatever else may divide us, Europe is our common home: a common fate has linked us through the centuries, and it continues to link us today.\n-Leonid I. Brezhnev ;;;;;;;;;;;;;x
loading_quote_58;I see Earth! It is so beautiful!\n-Yuri Gagarin ;;;;;;;;;;;;;x
loading_quote_59;I could have gone on flying through space forever.\n-Yuri Gagarin ;;;;;;;;;;;;;x
loading_quote_60;It suddenly struck me that that tiny pea, pretty and blue, was the Earth. I put up my thumb and shut one eye, and my thumb blotted out the planet Earth. I didn't feel like a giant. I felt very, very small.\n-Neil Armstrong ;;;;;;;;;;;;;x
loading_quote_61;Houston, Tranquillity Base here. The Eagle has landed.\n-Neil Armstrong ;;;;;;;;;;;;;x
loading_quote_62;Science has not yet mastered prophecy. We predict too much for the next year and yet far too little for the next 10.\n-Neil Armstrong ;;;;;;;;;;;;;x
loading_quote_63;Here men from the planet Earth first set foot upon the Moon. July 1969 AD. We came in peace for all mankind.\n-Neil Armstrong ;;;;;;;;;;;;;x
loading_quote_64;Since he is of no use anymore, there is no gain if he lives and no loss if he dies.\n-Pol Pot;;;;;;;;;;;;;x
loading_quote_65;I want you to know that everything I did, I did for my country.\n-Pol Pot ;;;;;;;;;;;;;x
loading_quote_66;Yes, Samantha, we in the Soviet Union are trying to do everything so that there will not be war on Earth. This is what every Soviet man wants.\n-Yuri Andropov ;;;;;;;;;;;;;x
loading_quote_67;Neither an ox nor a donkey is able to stop the progress of socialism.\n-Erich Honecker ;;;;;;;;;;;;;x
loading_quote_68;The Wall will be standing in 50 and even in 100 years, if the reasons for it are not removed.\n-Erich Honecker ;;;;;;;;;;;;;x
loading_quote_69;This hunger for profits causes great misery for the people.\n-Walter Ulbricht ;;;;;;;;;;;;;x
loading_quote_70;The government of the German Democratic Republic rejects secret policies. It works for the people, and only the people, so it does not need to keep secrets like the warmongers.\n-Walter Ulbricht ;;;;;;;;;;;;;x
loading_quote_71;The nature of a democracy consists to an important degree in the right of the people to criticize problems and mistakes.\n-Walter Ulbricht ;;;;;;;;;;;;;x
loading_quote_72;The success of each of us benefits us all, and the success of us all benefits each of us individually.\n-Walter Ulbricht ;;;;;;;;;;;;;x
loading_quote_73;Forgiveness is the answer to the child's dream of a miracle by which what is broken is made whole again, what is soiled is made clean again.\n-Dag Hammarskjold ;;;;;;;;;;;;;x
loading_quote_74;It is playing safe that we create a world of utmost insecurity.\n-Dag Hammarskjold ;;;;;;;;;;;;;x
loading_quote_75;Never look down to test the ground before taking your next step only he who keeps his eye fixed on the far horizon will find the right road.\n-Dag Hammarskjold;;;;;;;;;;;;;x
loading_quote_76;Never measure the height of a mountain until you have reached the top. Then you will see how low it was.\n-Dag Hammarskjold ;;;;;;;;;;;;;x
loading_quote_77;Freedom from fear - could be said to sum up the whole philosophy of human rights.\n-Dag Hammarskjold ;;;;;;;;;;;;;x
loading_quote_78;A task becomes a duty from the moment you suspect it to be an essential part of that integrity which alone entitles a man to assume responsibility.\n-Dag Hammarskjold ;;;;;;;;;;;;;x
loading_quote_79;Do not seek death. Death will find you. But seek the road which makes death a fulfillment.\n-Dag Hammarskjold ;;;;;;;;;;;;;x
loading_quote_80;Freedom from fear' could be said to sum up the whole philosophy of human rights.\n-Dag Hammarskjold;;;;;;;;;;;;;x
loading_quote_81;Never, for the sake of peace and quiet, deny your own experience or convictions.\n-Dag Hammaskjold;;;;;;;;;;;;;x
loading_quote_82;Remember, the storm is a good opportunity for the pine and the cypress to show their strength and their stability.\n-Ho Chi Minh;;;;;;;;;;;;;x
loading_quote_83;Nothing is more precious than independence and liberty.\n-Ho Chi Minh;;;;;;;;;;;;;x
loading_quote_84;People tend to forget their duties but remember their rights.\n-Indira Gandhi;;;;;;;;;;;;;x
loading_quote_85;You cannot shake hands with a clenched fist.\n-Indira Gandhi;;;;;;;;;;;;;x
loading_quote_86;Forgiveness is a virtue of the brave.\n-Indira Gandhi;;;;;;;;;;;;;x
loading_quote_87;My father was a statesman, I am a political woman. My father was a saint. I am not.\n-Indira Gandhi;;;;;;;;;;;;;x
loading_quote_88;Martyrdom does not end something, it only a beginning.\n-Indira Gandhi;;;;;;;;;;;;;x
loading_quote_89;A nation' s strength ultimately consists in what it can do on its own, and not in what it can borrow from others.\n-Indira Gandhi;;;;;;;;;;;;;x
loading_quote_90;It's not for me. I tried human flesh and it's too salty for my taste.\n-Idi Amin;;;;;;;;;;;;;x
loading_quote_91;Sometimes people mistake the way I talk for what I am thinking.\n-Idi Amin;;;;;;;;;;;;;x
loading_quote_92;You cannot run faster than a bullet.\n-Idi Amin;;;;;;;;;;;;;x
loading_quote_93;In any country there must be people who have to die. They are the sacrifices any nation has to make to achieve law and order.\n-Idi Amin;;;;;;;;;;;;;x
loading_quote_94;If we knew the meaning to everything that is happening to us, then there would be no meaning.\n-Idi Amin;;;;;;;;;;;;;x
loading_quote_95;Follow me if I advance! Kill me if I retreat! Revenge me if I die!\n-Ngo Dinh Diem;;;;;;;;;;;;;x
loading_quote_96;For some days, people thought that India was shaking. But there are always tremors when a great tree falls.\n-Rajiv Gandhi;;;;;;;;;;;;;x
loading_quote_97;Jesus was the first socialist, the first to seek a better life for mankind.\n-Mikhail Gorbachev;;;;;;;;;;;;;x
loading_quote_98;I am a Communist, a convinced Communist! For some that may be a fantasy. But to me it is my main goal.\n-Mikhail Gorbachev;;;;;;;;;;;;;x
loading_quote_99;It would be naive to think that the problems plaguing mankind today can be solved with means and methods which were applied or seemed to work in the past.\n-Mikhail Gorbachev;;;;;;;;;;;;;x
loading_quote_100;What we need is Star Peace and not Star Wars.\n-Mikhail Gorbachev;;;;;;;;;;;;;x
loading_quote_101;More socialism means more democracy, openness and collectivism in everyday life.\n-Mikhail Gorbachev;;;;;;;;;;;;;x
loading_quote_102;If what you have done yesterday still looks big to you, you haven't done much today.\n-Mikhail Gorbachev;;;;;;;;;;;;;x
loading_quote_103;The task of the leader is to get his people from where they are to where they have not been.\n-Henry A. Kissinger;;;;;;;;;;;;;x
loading_quote_104;Power is the great aphrodisiac.\n-Henry A. Kissinger;;;;;;;;;;;;;x
loading_quote_105;Ninety percent of the politicians give the other ten percent a bad reputation.\n-Henry A. Kissinger;;;;;;;;;;;;;x
loading_quote_106;The illegal we do immediately. The unconstitutional takes a little longer.\n-Henry A. Kissinger;;;;;;;;;;;;;x
loading_quote_107;No country can act wisely simultaneously in every part of the globe at every moment of time.\n-Henry A. Kissinger;;;;;;;;;;;;;x
loading_quote_108;Diplomacy, the art of restraining power.\n-Henry A. Kissinger;;;;;;;;;;;;;x
loading_quote_109;If you want to make peace with your enemy, you have to work with your enemy. Then he becomes your partner.\n-Nelson Mandela;;;;;;;;;;;;;x
loading_quote_110;It always seems impossible until its done.\n-Nelson Mandela;;;;;;;;;;;;;x
loading_quote_111;We know how to organize warfare, but do we know how to act when confronted with peace?\n-Jacques-Yves Cousteau;;;;;;;;;;;;;x
loading_quote_112;I like to believe that people in the long run are going to do more to promote peace than our governments. Indeed, I think that people want peace so much that one of these days governments had better get out of the way and let them have it.\n-Dwight D. Eisenhower;;;;;;;;;;;;;x
loading_quote_113;You have broader considerations that might follow what you would call the falling domino principle. You have a row of dominoes set up. You knock over the first one, and what will happen to the last one is the certainty that it will go over very quickly.\n-Dwight D. Eisenhower;;;;;;;;;;;;;x
loading_quote_114;This world in arms is not spending money alone. It is spending the sweat of its laborers, the genius of its scientists, the hopes of its children.\n-Dwight D. Eisenhower;;;;;;;;;;;;;x
loading_quote_115;Unless man can match his strides in weaponry and technology with equal strides in social and political development, our great strength, like that of the dinosaur, will become incapable of proper control and like the dinosaur vanish from the earth.\n-John F. Kennedy;;;;;;;;;;;;;x
loading_quote_116;The sad truth is that most evil is done by people who never make up their minds to be good or evil.\n-Hannah Arendt;;;;;;;;;;;;;x
loading_quote_117;Power and violence are opposites: where the one rules absolutely, the other is absent. Violence appears where power is in jeopardy, but left to its own course it ends in power's disappearance.\n-Hannah Arendt;;;;;;;;;;;;;x
loading_quote_118;We already had success in creating a democratic, national government that is revolutionary and popular. That is how socialism begins, not with decrees.\n-Salvador Allende;;;;;;;;;;;;;x
loading_quote_119;I don't see why we need to stand by and watch a country go communist due to the irresponsibility of its own people.\n-Henry A. Kissinger;;;;;;;;;;;;;x
loading_quote_120;The only use for an atomic bomb is to keep somebody else from using one. It can give us no protection--only the doubtful satisfaction of retaliation. Nuclear weapons offer us nothing but a balance of terror, and a balance of terror is still terror.\n-George Wald;;;;;;;;;;;;;x
loading_quote_121;America is an elephant. Cyprus is a flea. Greece is a flea. If these two fleas continue itching the elephant they may get whacked by the elephant's trunk, whacked good.\n-Lyndon B. Johnson;;;;;;;;;;;;;x
loading_quote_122;We have to get tough with the Russians. They don't know how to behave. They are like bulls in a china shop. They are only 25 years old. We are over 100 and the British are centuries older.  We have got to teach them how to behave.\n-Harry S. Truman;;;;;;;;;;;;;x
loading_quote_123;From Stettin in the Baltic to Trieste in the Adriatic, an iron curtain has descended across the continent.\n-Winston Churchill;;;;;;;;;;;;;x
loading_quote_124;If you don't like us, don't accept our invitations and don't invite us to come to see you. Whether you like it or not, history is on our side. We will bury you.\n-Nikita Khrushchev;;;;;;;;;;;;;x
loading_quote_125;Berlin is the testicle of the West. When I want the West to scream, I squeeze on Berlin.\n-Nikita Khrushchev;;;;;;;;;;;;;x
loading_quote_126;As you talk to us from the Sea of Tranquility, it inspires us to redouble our efforts to bring peace and tranquility to Earth. For one priceless moment, in the whole history of man, all the people on this Earth are truly one.\n-Richard M. Nixon;;;;;;;;;;;;;x
loading_quote_127;Under Lenin the Soviet Union was like a religious revival, under Stalin like a prison, under Khrushchev like a circus, and under Brezhnev like the U.S. Post Office.\n-Jimmy Carter;;;;;;;;;;;;;x
loading_quote_128;Mr Gorbachev, tear down this wall!\n-Ronald Reagan;;;;;;;;;;;;;x
loading_quote_129;If the President knows what he wants, no bureaucrat can stop him. A President has to know when to stop taking advice.\n-Harry S. Truman;;;;;;;;;;;;;x
loading_quote_130;Мы все должны повернуться спиной на ужасах прошлого. Мы должны смотреть в будущее. Мы не можем позволить, чтобы перетащить вперед пересекать лет, которые должны прийти на ненависть и месть, которые возникли от ран прошлого.\n-Winston Churchill;;;;;;;;;;;Мы все должны повернуться спиной на ужасах прошлого. Мы должны смотреть в будущее. Мы не можем позволить, чтобы перетащить вперед пересекать лет, которые должны прийти на ненависть и месть, которые возникли от ран прошлого.\n-Winston Churchill;;x
loading_quote_131;Никто не делает вид, что демократия является идеальным или премудрый. В самом деле, это было сказано, что демократия является наихудшей формой правления за исключением всех тех других форм, которые были опробованы время от времени.\n-Winston Churchill;;;;;;;;;;;Никто не делает вид, что демократия является идеальным или премудрый. В самом деле, это было сказано, что демократия является наихудшей формой правления за исключением всех тех других форм, которые были опробованы время от времени.\n-Winston Churchill;;x
loading_quote_132;Причина, по которой дипломатические отношения состоит не в предоставлении комплимент, но, чтобы обеспечить удобство.\n-Winston Churchill;;;;;;;;;;;Причина, по которой дипломатические отношения состоит не в предоставлении комплимент, но, чтобы обеспечить удобство.\n-Winston Churchill;;x
loading_quote_133;Конечно, когда вы выигрываете войну почти все, что происходит можно утверждал, что правильное и разумное.\n-Winston Churchill;;;;;;;;;;;Конечно, когда вы выигрываете войну почти все, что происходит можно утверждал, что правильное и разумное.\n-Winston Churchill;;x
loading_quote_134;Тот, кто отвергает изменения является архитектором распада. Единственный человек учреждение, которое отвергает прогресс является кладбище.\n-Harold Wilson;;;;;;;;;;;Тот, кто отвергает изменения является архитектором распада. Единственный человек учреждение, которое отвергает прогресс является кладбище.\n-Harold Wilson;;x
loading_quote_135;"Я получаю немного тошнит, пожалуй, когда я слышу ""свободы прессы"" фраза, используемая же свободно, как это, зная, что большая часть нашей собственнический прессе не является бесплатным на всех.\n-Harold Wilson";;;;;;;;;;;"Я получаю немного тошнит, пожалуй, когда я слышу ""свободы прессы"" фраза, используемая же свободно, как это, зная, что большая часть нашей собственнический прессе не является бесплатным на всех.\n-Harold Wilson";;x
loading_quote_136;Как можно управлять страной, которая имеет двести сорок шесть сортов сыра?\n-Charles de Gaulle;;;;;;;;;;;Как можно управлять страной, которая имеет двести сорок шесть сортов сыра?\n-Charles de Gaulle;;x
loading_quote_137;Политика, когда это искусство, и обслуживание, не эксплуатация, составляет около действуя к идеалу через реалиям.\n-Charles de Gaulle;;;;;;;;;;;Политика, когда это искусство, и обслуживание, не эксплуатация, составляет около действуя к идеалу через реалиям.\n-Charles de Gaulle;;x
loading_quote_138;Революция это не яблоко, что падает, когда она созрела. Вы должны сделать его падения.\n-Ernesto Guevara;;;;;;;;;;;Революция это не яблоко, что падает, когда она созрела. Вы должны сделать его падения.\n-Ernesto Guevara;;x
loading_quote_139;Я не освободитель. Освободители не существуют. Люди освободиться.\n-Ernesto Guevara;;;;;;;;;;;Я не освободитель. Освободители не существуют. Люди освободиться.\n-Ernesto Guevara;;x
loading_quote_140;Чувство восстания будет расти с каждым днем ??среди народов, подвергшихся различной степени эксплуатации, и они возьмут в руки оружие, чтобы получить силой права, которые только поэтому не выиграли их.\n-Ernesto Guevara;;;;;;;;;;;Чувство восстания будет расти с каждым днем ??среди народов, подвергшихся различной степени эксплуатации, и они возьмут в руки оружие, чтобы получить силой права, которые только поэтому не выиграли их.\n-Ernesto Guevara;;x
loading_quote_141;Там нет границ в этой борьбе до смерти. Мы не можем быть равнодушными к тому, что происходит в любой точке мира, потому что победа любой страной над империализмом это наша победа, так же, как поражение любой страны является поражением для всех нас.\n-Ernesto Guevara;;;;;;;;;;;Там нет границ в этой борьбе до смерти. Мы не можем быть равнодушными к тому, что происходит в любой точке мира, потому что победа любой страной над империализмом это наша победа, так же, как поражение любой страны является поражением для всех нас.\n-Ernesto Guevara;;x
loading_quote_142;Я знаю, что вы пришли, чтобы убить меня. Стреляй трус, вы только собираетесь, чтобы убить человека.\n-Ernesto Guevara;;;;;;;;;;;Я знаю, что вы пришли, чтобы убить меня. Стреляй трус, вы только собираетесь, чтобы убить человека.\n-Ernesto Guevara;;x
